model,cross_validated_AUC,ci_low,ci_high,cutoff,sensitivity,specificity,PPV,NPV,accuracy
miR-25-3p,0.7179761904761904,0.6602575563544841,0.777554851721112,0.5425714360258247,0.7222222222222222,0.6571428571428571,0.7303370786516854,0.647887323943662,0.69375
miR-143-3p,0.7730952380952381,0.7182720760429786,0.8238292354125113,0.6036654373998817,0.6666666666666666,0.8,0.8108108108108109,0.6511627906976745,0.725
Two-miRNA score,0.770079365079365,0.7146477371111957,0.8200657211297268,0.5779605740692355,0.7,0.7642857142857142,0.7924528301886793,0.6645962732919255,0.728125
Adjusted two-miRNA model,0.7632936507936507,0.711829929436826,0.8130010100049401,0.5439449646410207,0.7444444444444445,0.6714285714285714,0.7444444444444445,0.6714285714285714,0.7125
