approach,marker,acne,control,rank_biserial_r,p_value,q_within_approach
Stable reference ΔCq,miR-25-3p,"-0.67 [-1.44, 0.18]","-1.69 [-2.37, -0.72]",0.4353174603174603,2.389820080235608e-11,2.389820080235608e-11
Stable reference ΔCq,miR-143-3p,"-1.04 [-1.80, -0.29]","-2.25 [-2.88, -1.54]",0.5469841269841269,4.712202948024543e-17,9.424405896049086e-17
Unstable reference ΔCq,miR-25-3p,"-2.16 [-3.00, -1.48]","-1.70 [-2.33, -0.75]",-0.24912698412698409,0.00013204664545635877,0.00026409329091271755
Unstable reference ΔCq,miR-143-3p,"-2.56 [-3.32, -1.83]","-2.28 [-2.91, -1.59]",-0.17285714285714282,0.007998401475359853,0.007998401475359853
Raw target Cq,miR-25-3p,"25.87 [25.39, 26.55]","24.83 [24.18, 25.57]",0.5726190476190476,1.5351146484998367e-18,1.5351146484998367e-18
Raw target Cq,miR-143-3p,"25.45 [24.76, 26.11]","24.26 [23.62, 24.64]",0.6765873015873016,2.9751220872126694e-25,5.950244174425339e-25
